OTU,Domain,Phylum,Class,Order,Family,Genus,Label
BOTU_6488,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6488_Bacteria
BOTU_6489,Bacteria,Planctomycetes,unidentified,unidentified,unidentified,unidentified,BOTU_6489_Planctomycetes
BOTU_649,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,unidentified,BOTU_649_Rhizobiaceae
BOTU_6490,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,unidentified,BOTU_6490_Polyangiaceae
BOTU_6491,Bacteria,candidate_division_WPS-1,unidentified,unidentified,unidentified,unidentified,BOTU_6491_candidate_division_WPS-1
BOTU_6492,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6492_Bacteria
BOTU_6493,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,BOTU_6493_Ruminiclostridium
BOTU_6494,Bacteria,Chloroflexi,unidentified,unidentified,unidentified,unidentified,BOTU_6494_Chloroflexi
BOTU_6495,Bacteria,candidate_division_WPS-1,unidentified,unidentified,unidentified,WPS-1_genera_incertae_sedis,BOTU_6495_candidate_division_WPS-1
BOTU_6496,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,unidentified,BOTU_6496_Pseudonocardiaceae
BOTU_6497,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,unidentified,BOTU_6497_Paenibacillaceae_1
BOTU_6498,Bacteria,Verrucomicrobia,Verrucomicrobiae,unidentified,unidentified,unidentified,BOTU_6498_Verrucomicrobiae
BOTU_6499,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,unidentified,unidentified,BOTU_6499_Planctomycetales
BOTU_65,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_65_Bacteria
BOTU_650,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,unidentified,BOTU_650_Chitinophagaceae
BOTU_6500,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6500_Bacteria
BOTU_6501,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,BOTU_6501_Aquicella
BOTU_6502,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,unidentified,BOTU_6502_Intrasporangiaceae
BOTU_6503,Bacteria,Proteobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6503_Proteobacteria
BOTU_6504,Bacteria,Acidobacteria,Acidobacteria_Gp3,unidentified,unidentified,Gp3,BOTU_6504_Acidobacteria_Gp3
BOTU_6505,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6505_Bacteria
BOTU_6506,Bacteria,Proteobacteria,Alphaproteobacteria,unidentified,unidentified,unidentified,BOTU_6506_Alphaproteobacteria
BOTU_6507,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6507_Bacteria
BOTU_6508,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unidentified,unidentified,BOTU_6508_Myxococcales
BOTU_6509,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Isosphaeraceae,unidentified,BOTU_6509_Isosphaeraceae
BOTU_651,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_651_Bacteria
BOTU_6510,Bacteria,Planctomycetes,Planctomycetacia,unidentified,unidentified,unidentified,BOTU_6510_Planctomycetacia
BOTU_6511,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6511_Bacteria
BOTU_6512,Bacteria,Abditibacteriota,unidentified,unidentified,unidentified,unidentified,BOTU_6512_Abditibacteriota
BOTU_6513,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6513_Bacteria
BOTU_6514,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,unidentified,unidentified,BOTU_6514_Planctomycetales
BOTU_6515,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6515_Bacteria
BOTU_6516,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unidentified,unidentified,BOTU_6516_Myxococcales
BOTU_6517,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6517_Bacteria
BOTU_6518,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6518_Bacteria
BOTU_6519,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,unidentified,unidentified,BOTU_6519_Planctomycetales
BOTU_652,Bacteria,Bacteroidetes,unidentified,unidentified,unidentified,unidentified,BOTU_652_Bacteroidetes
BOTU_6520,Bacteria,Firmicutes,unidentified,unidentified,unidentified,unidentified,BOTU_6520_Firmicutes
BOTU_6521,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,unidentified,unidentified,BOTU_6521_Pirellulales
BOTU_6522,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Neochlamydia,BOTU_6522_Neochlamydia
BOTU_6523,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,BOTU_6523_Hymenobacter
BOTU_6524,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,unidentified,BOTU_6524_Bradyrhizobiaceae
BOTU_6525,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6525_Bacteria
BOTU_6526,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6526_Bacteria
BOTU_6527,Bacteria,Planctomycetes,Planctomycetacia,unidentified,unidentified,unidentified,BOTU_6527_Planctomycetacia
BOTU_6528,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6528_Bacteria
BOTU_6529,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unidentified,unidentified,BOTU_6529_Myxococcales
BOTU_653,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Nocardiaceae,Nocardia,BOTU_653_Nocardia
BOTU_6530,Bacteria,Acidobacteria,Acidobacteria_Gp1,unidentified,unidentified,Gp1,BOTU_6530_Acidobacteria_Gp1
BOTU_6531,Bacteria,Bacteroidetes,unidentified,unidentified,unidentified,unidentified,BOTU_6531_Bacteroidetes
BOTU_6532,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6532_Bacteria
BOTU_6533,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6533_Bacteria
BOTU_6534,Bacteria,Actinobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6534_Actinobacteria
BOTU_6535,Bacteria,Armatimonadetes,unidentified,unidentified,unidentified,Armatimonadetes_gp5,BOTU_6535_Armatimonadetes
BOTU_6536,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,BOTU_6536_Sphingomonas
BOTU_6537,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6537_Bacteria
BOTU_6538,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6538_Bacteria
BOTU_6539,Bacteria,Actinobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6539_Actinobacteria
BOTU_654,Bacteria,Proteobacteria,Deltaproteobacteria,unidentified,unidentified,unidentified,BOTU_654_Deltaproteobacteria
BOTU_6540,Bacteria,Actinobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6540_Actinobacteria
BOTU_6541,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6541_Bacteria
BOTU_6542,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,unidentified,BOTU_6542_Cellulomonadaceae
BOTU_6543,Bacteria,Planctomycetes,unidentified,unidentified,unidentified,unidentified,BOTU_6543_Planctomycetes
BOTU_6544,Bacteria,Proteobacteria,Deltaproteobacteria,unidentified,unidentified,unidentified,BOTU_6544_Deltaproteobacteria
BOTU_6545,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,unidentified,unidentified,BOTU_6545_Legionellales
BOTU_6546,Bacteria,Chlamydiae,unidentified,unidentified,unidentified,unidentified,BOTU_6546_Chlamydiae
BOTU_6547,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6547_Bacteria
BOTU_6548,Bacteria,Acidobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6548_Acidobacteria
